month	day	value
0.0	0.0	0.0
0.0	1.0	95.47826086956522
0.0	2.0	219.66666666666666
0.0	3.0	383.8333333333333
0.0	4.0	163.13636363636363
0.0	5.0	53.72727272727273
0.0	6.0	110.08333333333333
0.0	7.0	159.0
0.0	8.0	181.7391304347826
0.0	9.0	231.58333333333334
0.0	10.0	88.3913043478261
0.0	11.0	60.55
0.0	12.0	153.5
0.0	13.0	256.0869565217391
0.0	14.0	261.95652173913044
0.0	15.0	138.04545454545453
0.0	16.0	55.333333333333336
0.0	17.0	137.9
0.0	18.0	70.21739130434783
0.0	19.0	124.08333333333333
0.0	20.0	101.47826086956522
0.0	21.0	117.5
0.0	22.0	194.25
0.0	23.0	148.04347826086956
0.0	24.0	105.75
0.0	25.0	191.4090909090909
0.0	26.0	35.041666666666664
0.0	27.0	86.8695652173913
0.0	28.0	84.77272727272727
0.0	29.0	41.391304347826086
0.0	30.0	61.375
1.0	0.0	176.04166666666666
1.0	1.0	166.75
1.0	2.0	196.43478260869566
1.0	3.0	47.17391304347826
1.0	4.0	46.08695652173913
1.0	5.0	138.8695652173913
1.0	6.0	104.08695652173913
1.0	7.0	40.583333333333336
1.0	8.0	115.29166666666667
1.0	9.0	166.79166666666666
1.0	10.0	126.8695652173913
1.0	11.0	64.875
1.0	12.0	116.6086956521739
1.0	13.0	234.17391304347825
1.0	14.0	162.20833333333334
1.0	15.0	163.91666666666666
1.0	16.0	68.29166666666667
1.0	17.0	89.375
1.0	18.0	117.33333333333333
1.0	19.0	84.83333333333333
1.0	20.0	183.17391304347825
1.0	21.0	245.56521739130434
1.0	22.0	98.27272727272727
1.0	23.0	140.45454545454547
1.0	24.0	123.73913043478261
1.0	25.0	63.625
1.0	26.0	47.0
1.0	27.0	77.70833333333333
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
2.0	0.0	114.20833333333333
2.0	1.0	109.1304347826087
2.0	2.0	68.33333333333333
2.0	3.0	53.95652173913044
2.0	4.0	76.625
2.0	5.0	134.125
2.0	6.0	151.08695652173913
2.0	7.0	159.65217391304347
2.0	8.0	54.583333333333336
2.0	9.0	72.08695652173913
2.0	10.0	87.77272727272727
2.0	11.0	113.5
2.0	12.0	88.95833333333333
2.0	13.0	91.66666666666667
2.0	14.0	144.91304347826087
2.0	15.0	208.36363636363637
2.0	16.0	143.95833333333334
2.0	17.0	86.6086956521739
2.0	18.0	180.56521739130434
2.0	19.0	181.70833333333334
2.0	20.0	115.25
2.0	21.0	117.125
2.0	22.0	77.45833333333333
2.0	23.0	101.43478260869566
2.0	24.0	107.125
2.0	25.0	96.08333333333333
2.0	26.0	86.6086956521739
2.0	27.0	281.95238095238096
2.0	28.0	228.9090909090909
2.0	29.0	153.41666666666666
2.0	30.0	91.83333333333333
3.0	0.0	69.30434782608695
3.0	1.0	69.16666666666667
3.0	2.0	61.75
3.0	3.0	93.91666666666667
3.0	4.0	89.83333333333333
3.0	5.0	42.833333333333336
3.0	6.0	65.125
3.0	7.0	92.0
3.0	8.0	103.34782608695652
3.0	9.0	139.76190476190476
3.0	10.0	144.72727272727272
3.0	11.0	45.36363636363637
3.0	12.0	61.04761904761905
3.0	13.0	140.47368421052633
3.0	14.0	151.70833333333334
3.0	15.0	104.0
3.0	16.0	104.91304347826087
3.0	17.0	122.75
3.0	18.0	80.0
3.0	19.0	98.72727272727273
3.0	20.0	97.63636363636364
3.0	21.0	80.85714285714286
3.0	22.0	104.5
3.0	23.0	99.47619047619048
3.0	24.0	115.95454545454545
3.0	25.0	86.18181818181819
3.0	26.0	106.0
3.0	27.0	77.04761904761905
3.0	28.0	103.19047619047619
3.0	29.0	147.3181818181818
0.0	0.0	0.0
4.0	0.0	100.95652173913044
4.0	1.0	67.47826086956522
4.0	2.0	88.27272727272727
4.0	3.0	53.625
4.0	4.0	93.8695652173913
4.0	5.0	102.1304347826087
4.0	6.0	76.66666666666667
4.0	7.0	111.92307692307692
4.0	8.0	32.86363636363637
4.0	9.0	45.391304347826086
4.0	10.0	60.69565217391305
4.0	11.0	50.65217391304348
4.0	12.0	81.31818181818181
4.0	13.0	72.23809523809524
4.0	14.0	69.81818181818181
4.0	15.0	83.54545454545455
4.0	16.0	102.66666666666667
4.0	17.0	65.54545454545455
4.0	18.0	62.391304347826086
4.0	19.0	48.5
4.0	20.0	68.70833333333333
4.0	21.0	86.22727272727273
4.0	22.0	122.21739130434783
4.0	23.0	119.73913043478261
4.0	24.0	121.21739130434783
4.0	25.0	115.3
4.0	26.0	127.5
4.0	27.0	109.42857142857143
4.0	28.0	83.52173913043478
4.0	29.0	84.22727272727273
4.0	30.0	92.95238095238095
5.0	0.0	108.23809523809524
5.0	1.0	75.95833333333333
5.0	2.0	64.82608695652173
5.0	3.0	73.33333333333333
5.0	4.0	76.45454545454545
5.0	5.0	82.55
5.0	6.0	68.34782608695652
5.0	7.0	60.76190476190476
5.0	8.0	98.05
5.0	9.0	98.76190476190476
5.0	10.0	59.69565217391305
5.0	11.0	50.21739130434783
5.0	12.0	62.333333333333336
5.0	13.0	72.43478260869566
5.0	14.0	95.0
5.0	15.0	113.0
5.0	16.0	145.04545454545453
5.0	17.0	89.47368421052632
5.0	18.0	67.78571428571429
5.0	19.0	72.0
5.0	20.0	98.375
5.0	21.0	126.1304347826087
5.0	22.0	175.16666666666666
5.0	23.0	121.70833333333333
5.0	24.0	128.8695652173913
5.0	25.0	104.78260869565217
5.0	26.0	71.17391304347827
5.0	27.0	113.5
5.0	28.0	88.625
5.0	29.0	35.42857142857143
0.0	0.0	0.0
6.0	0.0	61.76190476190476
6.0	1.0	34.473684210526315
6.0	2.0	45.857142857142854
6.0	3.0	45.958333333333336
6.0	4.0	61.43478260869565
6.0	5.0	65.20833333333333
6.0	6.0	68.33333333333333
6.0	7.0	73.73913043478261
6.0	8.0	62.125
6.0	9.0	59.125
6.0	10.0	113.29166666666667
6.0	11.0	124.16666666666667
6.0	12.0	94.95833333333333
6.0	13.0	87.5
6.0	14.0	98.0909090909091
6.0	15.0	67.76470588235294
6.0	16.0	49.791666666666664
6.0	17.0	51.0
6.0	18.0	83.3913043478261
6.0	19.0	62.65217391304348
6.0	20.0	91.46666666666667
6.0	21.0	63.208333333333336
6.0	22.0	78.83333333333333
6.0	23.0	95.54166666666667
6.0	24.0	83.66666666666667
6.0	25.0	112.91666666666667
6.0	26.0	128.79166666666666
6.0	27.0	89.95652173913044
6.0	28.0	106.08333333333333
6.0	29.0	55.708333333333336
